"country","product","chipset","inch","app_name","use_month","use_tv_cnt","total_use_count","total_use_hour","monthly_avg_use_count","monthly_avg_use_hour"
"KR","webOSTV 6.0","e60F20","75","app4","2022-2","3","17.0","5.260277777777778","5.666666666666667","1.753425925925926"
"KR","webOSTV 6.0","k7lp","55","app3","2022-5","9","20.0","0.25","2.2222222222222223","0.027777777777777776"
"KR","webOSTV 6.0","k7lp","43","app3","2022-4","4","7.0","15.364166666666666","1.75","3.8410416666666665"
"KR","webOSTV 6.0","k7lp","75","app3","2022-6","1","1.0","0.011111111111111112","1.0","0.011111111111111112"
"AU","webOSTV 6.0","lm21a","75","app4","2022-12","18674","549508.0","828603.7122222222","22.85971526884117","34.06545880534021"
"JP","webOSTV 6.0","lm21u","55","app2","2022-4","1597","32009.0","35028.55333333334","17.42422347300396","18.719845302619692"
"KR","webOSTV 6.0","o20","65","app1","2022-6","4329","6933.0","1662.4258333333332","1.5797185048454083","0.3709283187201971"
"AU","webOSTV 6.0","o20","65","app5","2022-11","14947","155140.0","174411.0675","9.378135841060306","10.43751637203913"
"AU","webOSTV 6.0","lm21a","43","app4","2022-7","6736","118545.0","183962.19916666666","14.0866346167437","21.403399343002103"
"KR","webOSTV 6.0","o20","65","app5","2022-7","11992","58243.0","50161.37027777778","4.6109467455621305","3.8858923737471938"
"KR","webOSTV 6.0","lm21a","65","app5","2022-10","8104","35307.0","30460.5075","4.19141588554514","3.5590595793592077"
"KR","webOSTV 6.0","lm21a","65","app5","2022-9","7542","30226.0","25923.820277777777","3.8509056770488184","3.249176165230837"
"KR","webOSTV 6.0","lm21u","65","app4","2022-12","42960","972549.0","1273833.6105555557","18.900286358185504","24.20544980662495"
"AU","webOSTV 6.0","o20","55","app4","2022-6","12139","220733.0","271397.2994444444","14.874104590500997","17.936773132620747"
"KR","webOSTV 6.0","lm21a","75","app1","2022-5","4044","6424.0","739.8002777777778","1.559812160158181","0.1785741175555189"
"AU","webOSTV 6.0","lm21u","65","app3","2022-12","2238","10117.0","9141.37","4.137324155588231","3.675250438320452"
"AU","webOSTV 6.0","lm21u","75","app5","2022-4","2252","24171.0","26989.855","9.864125505274574","10.85393988875743"
"KR","webOSTV 6.0","lm21u","65","app1","2022-8","3583","6504.0","1511.0622222222223","1.7936662946428572","0.3996281634941303"
"AU","webOSTV 6.0","lm21a","65","app3","2022-4","5432","19494.0","15280.660833333333","3.409601582627898","2.6019252630897354"
"KR","webOSTV 6.0","o20","65","app3","2022-9","2815","5510.0","2646.9108333333334","1.9065199384688203","0.8898906769744541"
"JP","webOSTV 6.0","lm21a","75","app2","2022-11","608","13015.0","14459.677777777777","18.969729010025063","20.914187182365637"
"JP","webOSTV 6.0","lm21u","65","app2","2022-4","573","13156.0","15840.6225","19.66259453170448","23.03801750048478"
"AU","webOSTV 6.0","k7lp","55","app2","2022-10","143","2478.0","2211.614722222222","14.552447552447552","12.930931429681436"
"KR","webOSTV 6.0","lm21u","55","app1","2022-2","43","55.0","7.936111111111111","1.244186046511628","0.1842926356589147"
"AU","webOSTV 6.0","k7lp","65","app1","2022-8","17","109.0","81.91555555555556","5.0","3.158022875816994"
"AU","webOSTV 6.0","e60F20","65","app3","2022-8","12","31.0","7.283055555555555","2.5833333333333335","0.6069212962962963"
"KR","webOSTV 6.0","lm21a","55","app1","2022-1","19","22.0","1.8855555555555557","1.1578947368421053","0.09923976608187135"
"JP","webOSTV 6.0","e60F20","55","app3","2022-5","1","1.0","0.08194444444444444","1.0","0.08194444444444444"
"AU","webOSTV 6.0","lm21a","75","app1","2022-1","43","115.0","50.98277777777778","2.63953488372093","1.185125968992248"
"KR","webOSTV 6.0","k7lp","43","app1","2022-4","3","3.0","20.56138888888889","1.0","6.853796296296296"
"KR","webOSTV 6.0","lm21u","75","app3","2022-2","3","3.0","0.07666666666666666","1.0","0.025555555555555557"
"AU","webOSTV 6.0","k7lp","65","app3","2022-8","7","27.0","14.257222222222222","3.857142857142857","2.036746031746032"
"JP","webOSTV 6.0","k7lp","55","app2","2022-1","2","5.0","5.366944444444444","2.5","2.683472222222222"
"AU","webOSTV 6.0","lm21a","55","app1","2022-11","7489","52345.0","65119.30055555556","6.143126532157756","7.5269054760122005"
"KR","webOSTV 6.0","lm21a","75","app2","2022-7","26011","605091.0","778427.2855555556","20.18209793523927","25.688826900169083"
"KR","webOSTV 6.0","lm21a","43","app4","2022-11","8260","158406.0","243778.30444444445","14.976852972013871","22.150476388104778"
"AU","webOSTV 6.0","o20","55","app2","2022-7","16605","428835.0","547438.3294444444","20.66081111904865","26.004187032193602"
"JP","webOSTV 6.0","lm21a","65","app2","2022-12","3019","71129.0","81564.21833333334","20.673172345352302","23.439432322870342"
"KR","webOSTV 6.0","lm21a","43","app5","2022-12","3213","12122.0","11406.337222222222","3.6185957270275875","3.3517747873885084"
"KR","webOSTV 6.0","lm21a","65","app3","2022-6","1442","2454.0","1032.9866666666667","1.6876731301939059","0.6969797437673131"
"KR","webOSTV 6.0","lm21u","75","app3","2022-7","339","625.0","190.59777777777776","1.8352941176470587","0.560497549019608"
"KR","webOSTV 6.0","lm21u","55","app3","2022-11","1383","2545.0","1225.8816666666667","1.7886560693641618","0.8141928588631988"
"JP","webOSTV 6.0","k7lp","55","app4","2022-7","315","11080.0","12846.493611111111","29.419576719576717","33.21226837154614"
"KR","webOSTV 6.0","e60F20","75","app4","2022-9","123","1914.0","2355.6819444444445","12.17741935483871","15.316166367980882"
"AU","webOSTV 6.0","o20","55","app5","2022-2","95","286.0","168.8025","2.7842105263157895","1.5707222222222224"
"KR","webOSTV 6.0","o20","65","app1","2022-1","41","53.0","3.703888888888889","1.2682926829268293","0.08994579945799457"
"JP","webOSTV 6.0","lm21u","75","app3","2022-10","28","48.0","8.72638888888889","1.7142857142857142","0.311656746031746"
"AU","webOSTV 6.0","k7lp","75","app1","2022-9","6","36.0","38.90972222222222","6.0","6.484953703703703"
"JP","webOSTV 6.0","o20","65","app4","2022-1","22","151.0","85.3475","6.0","3.4620138888888885"
"JP","webOSTV 6.0","lm21a","75","app3","2022-8","16","24.0","2.4525","1.5","0.15328124999999998"
"JP","webOSTV 6.0","lm21a","65","app1","2022-1","25","107.0","57.06611111111111","3.8","2.037111111111111"
"KR","webOSTV 6.0","k7lp","75","app1","2022-10","10","17.0","0.41055555555555556","1.7","0.041055555555555553"
"KR","webOSTV 6.0","e60F20","75","app3","2022-9","10","17.0","3.0077777777777777","1.4","0.16145833333333331"
"AU","webOSTV 6.0","k7lp","55","app2","2022-3","1","1.0","0.011944444444444445","1.0","0.011944444444444445"
"AU","webOSTV 6.0","lm21a","75","app2","2022-9","22189","554667.0","728796.1941666667","19.61318807481295","25.34310619908654"
"KR","webOSTV 6.0","o20","65","app1","2022-8","2688","4311.0","1256.483611111111","1.5856877323420073","0.4549504337050807"
"JP","webOSTV 6.0","lm21a","43","app4","2022-10","4396","127657.0","167321.65277777778","24.155383916401636","30.66403593905128"
"AU","webOSTV 6.0","lm21a","75","app4","2022-5","14779","390685.0","566752.8625","21.89586937058556","31.349504450719067"
"KR","webOSTV 6.0","lm21a","55","app1","2022-7","1619","2645.0","515.5711111111111","1.6069298786757147","0.3035757248611968"
"JP","webOSTV 6.0","lm21u","55","app4","2022-9","4705","132732.0","159989.56444444443","23.163378588601326","27.56147165063876"
"KR","webOSTV 6.0","lm21u","55","app1","2022-9","3037","5435.0","1867.3477777777778","1.7758223684210526","0.6126710069444444"
"KR","webOSTV 6.0","lm21u","65","app2","2022-1","373","1945.0","1520.4305555555557","4.81769436997319","3.615661304736372"
"JP","webOSTV 6.0","lm21a","55","app5","2022-8","690","4331.0","3559.6194444444445","5.982633863965268","4.835253457147452"
"AU","webOSTV 6.0","o20","65","app5","2022-1","94","283.0","164.1786111111111","2.9574468085106385","1.7284943853427892"
"JP","webOSTV 6.0","lm21u","65","app4","2022-7","1309","38302.0","43289.20916666667","24.421059332824036","26.937280720368957"
"AU","webOSTV 6.0","e60F20","65","app1","2022-9","43","268.0","281.61944444444447","5.488372093023256","5.282593669250646"
"AU","webOSTV 6.0","e60F20","75","app1","2022-10","54","409.0","439.08222222222224","6.981481481481482","7.349102366255146"
"JP","webOSTV 6.0","o20","55","app3","2022-1","6","9.0","0.2752777777777778","1.5","0.04587962962962963"
"JP","webOSTV 6.0","k7lp","55","app3","2022-12","11","11.0","0.17416666666666666","1.0","0.015833333333333335"
"JP","webOSTV 6.0","lm21a","75","app3","2022-5","13","34.0","14.802777777777777","2.6153846153846154","1.1386752136752136"
"JP","webOSTV 6.0","lm21a","55","app1","2022-1","12","45.0","16.43166666666667","3.75","1.3693055555555558"
"AU","webOSTV 6.0","k7lp","75","app3","2022-9","3","14.0","0.40055555555555555","4.666666666666667","0.1335185185185185"
"KR","webOSTV 6.0","k7lp","43","app3","2022-11","8","12.0","8.946666666666667","1.25","0.5676736111111111"
"KR","webOSTV 6.0","lm21a","75","app5","2022-11","10444","47356.0","39448.80027777778","4.291065278005577","3.520781594545588"
"AU","webOSTV 6.0","lm21u","55","app5","2022-12","2798","26695.0","33504.564722222225","8.37708500061284","10.447215482507685"
"KR","webOSTV 6.0","lm21a","75","app3","2022-4","3247","7822.0","4590.917222222222","2.3653431825176976","1.3656159587565406"
"JP","webOSTV 6.0","lm21u","75","app5","2022-9","153","1137.0","992.0288888888889","6.872549019607843","5.7852160493827185"
"JP","webOSTV 6.0","lm21a","65","app1","2022-7","1882","28196.0","31527.090833333332","13.613527851458885","15.110779570684747"
"JP","webOSTV 6.0","lm21u","65","app4","2022-8","1358","41142.0","49450.05416666667","25.704221894943547","30.170171787214315"
"AU","webOSTV 6.0","e60F20","65","app4","2022-12","725","14369.0","19347.14972222222","16.35187728937729","21.22300487128612"
"JP","webOSTV 6.0","lm21a","75","app5","2022-6","205","1230.0","757.7008333333333","5.578048780487805","3.3645386178861787"
